alpha3-b,English
zul,Zulu
chi,Chinese
zha,Zhuang; Chuang
yor,Yoruba
yid,Yiddish
xho,Xhosa
wol,Wolof
wln,Walloon
vol,Volapük
vie,Vietnamese
ven,Venda
uzb,Uzbek
urd,Urdu
ukr,Ukrainian
uig,Uighur; Uyghur
tah,Tahitian
twi,Twi
tat,Tatar
tso,Tsonga
tur,Turkish
ton,Tonga (Tonga Islands)
tsn,Tswana
tgl,Tagalog
tuk,Turkmen
tir,Tigrinya
tha,Thai
tgk,Tajik
tel,Telugu
tam,Tamil
swa,Swahili
swe,Swedish
sun,Sundanese
sot,"Sotho, Southern"
ssw,Swati
srp,Serbian
alb,Albanian
som,Somali
sna,Shona
smo,Samoan
slv,Slovenian
slo,Slovak
sin,Sinhala; Sinhalese
sag,Sango
sme,Northern Sami
snd,Sindhi
srd,Sardinian
san,Sanskrit
kin,Kinyarwanda
rus,Russian
rum,Romanian; Moldavian; Moldovan
run,Rundi
roh,Romansh
que,Quechua
por,Portuguese
pus,Pushto; Pashto
pol,Polish
pli,Pali
pan,Panjabi; Punjabi
oss,Ossetian; Ossetic
ori,Oriya
orm,Oromo
oji,Ojibwa
oci,Occitan (post 1500)
nya,Chichewa; Chewa; Nyanja
nav,Navajo; Navaho
nbl,"Ndebele, South; South Ndebele"
nor,Norwegian
nno,"Norwegian Nynorsk; Nynorsk, Norwegian"
dut,Dutch; Flemish
ndo,Ndonga
nep,Nepali
nde,"Ndebele, North; North Ndebele"
nob,"Bokmål, Norwegian; Norwegian Bokmål"
nau,Nauru
bur,Burmese
mlt,Maltese
may,Malay
mar,Marathi
mon,Mongolian
mal,Malayalam
mac,Macedonian
mao,Maori
mah,Marshallese
mlg,Malagasy
lav,Latvian
lub,Luba-Katanga
lit,Lithuanian
lao,Lao
lin,Lingala
lim,Limburgan; Limburger; Limburgish
lug,Ganda
ltz,Luxembourgish; Letzeburgesch
lat,Latin
kir,Kirghiz; Kyrgyz
cor,Cornish
kom,Komi
kur,Kurdish
kas,Kashmiri
kau,Kanuri
kor,Korean
kan,Kannada
khm,Central Khmer
kal,Kalaallisut; Greenlandic
kaz,Kazakh
kua,Kuanyama; Kwanyama
kik,Kikuyu; Gikuyu
kon,Kongo
geo,Georgian
jav,Javanese
jpn,Japanese
iku,Inuktitut
ita,Italian
ice,Icelandic
ido,Ido
ipk,Inupiaq
iii,Sichuan Yi; Nuosu
ibo,Igbo
ile,Interlingue; Occidental
ind,Indonesian
ina,Interlingua (International Auxiliary Language Association)
her,Herero
arm,Armenian
hun,Hungarian
hat,Haitian; Haitian Creole
hrv,Croatian
hmo,Hiri Motu
hin,Hindi
heb,Hebrew
hau,Hausa
glv,Manx
guj,Gujarati
grn,Guarani
glg,Galician
gla,Gaelic; Scottish Gaelic
gle,Irish
fry,Western Frisian
fre,French
fao,Faroese
fij,Fijian
fin,Finnish
ful,Fulah
per,Persian
baq,Basque
est,Estonian
spa,Spanish; Castilian
epo,Esperanto
eng,English
gre,"Greek, Modern (1453-)"
ewe,Ewe
dzo,Dzongkha
div,Divehi; Dhivehi; Maldivian
ger,German
dan,Danish
wel,Welsh
chv,Chuvash
chu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic
cze,Czech
cre,Cree
cos,Corsican
cha,Chamorro
che,Chechen
cat,Catalan; Valencian
bos,Bosnian
bre,Breton
tib,Tibetan
ben,Bengali
bam,Bambara
bis,Bislama
bul,Bulgarian
bel,Belarusian
bak,Bashkir
aze,Azerbaijani
aym,Aymara
ava,Avaric
asm,Assamese
ara,Arabic
arg,Aragonese
amh,Amharic
aka,Akan
afr,Afrikaans
ave,Avestan
abk,Abkhazian
aar,Afar
